Region,Representative Name,Medical Drug Name,No.of Drugs Sold,Month
North,Mishti Buch,Drug_1,40,May
North,Mishti Buch,Drug_2,7,May
North,Mishti Buch,Drug_3,1,May
North,Mishti Buch,Drug_4,47,May
North,Mishti Buch,Drug_5,17,May
North,Mishti Buch,Drug_6,15,May
North,Mishti Buch,Drug_7,14,May
North,Mishti Buch,Drug_8,8,May
North,Mishti Buch,Drug_9,47,May
North,Mishti Buch,Drug_10,6,May
North,Faiyaz Din,Drug_1,43,May
North,Faiyaz Din,Drug_2,47,May
North,Faiyaz Din,Drug_3,34,May
North,Faiyaz Din,Drug_4,5,May
North,Faiyaz Din,Drug_5,37,May
North,Faiyaz Din,Drug_6,27,May
North,Faiyaz Din,Drug_7,2,May
North,Faiyaz Din,Drug_8,1,May
North,Faiyaz Din,Drug_9,5,May
North,Faiyaz Din,Drug_10,13,May
North,Vaibhav Bava,Drug_1,14,May
North,Vaibhav Bava,Drug_2,32,May
North,Vaibhav Bava,Drug_3,38,May
North,Vaibhav Bava,Drug_4,1,May
North,Vaibhav Bava,Drug_5,35,May
North,Vaibhav Bava,Drug_6,12,May
North,Vaibhav Bava,Drug_7,45,May
North,Vaibhav Bava,Drug_8,41,May
North,Vaibhav Bava,Drug_9,44,May
North,Vaibhav Bava,Drug_10,34,May
North,Taran Choudhary,Drug_1,26,May
North,Taran Choudhary,Drug_2,14,May
North,Taran Choudhary,Drug_3,28,May
North,Taran Choudhary,Drug_4,37,May
North,Taran Choudhary,Drug_5,17,May
North,Taran Choudhary,Drug_6,0,May
North,Taran Choudhary,Drug_7,48,May
North,Taran Choudhary,Drug_8,10,May
North,Taran Choudhary,Drug_9,44,May
North,Taran Choudhary,Drug_10,27,May
North,Shray Ramakrishnan,Drug_1,21,May
North,Shray Ramakrishnan,Drug_2,17,May
North,Shray Ramakrishnan,Drug_3,9,May
North,Shray Ramakrishnan,Drug_4,13,May
North,Shray Ramakrishnan,Drug_5,48,May
North,Shray Ramakrishnan,Drug_6,21,May
North,Shray Ramakrishnan,Drug_7,6,May
North,Shray Ramakrishnan,Drug_8,5,May
North,Shray Ramakrishnan,Drug_9,24,May
North,Shray Ramakrishnan,Drug_10,6,May
North,Prisha Mallick,Drug_1,22,May
North,Prisha Mallick,Drug_2,22,May
North,Prisha Mallick,Drug_3,38,May
North,Prisha Mallick,Drug_4,16,May
North,Prisha Mallick,Drug_5,2,May
North,Prisha Mallick,Drug_6,46,May
North,Prisha Mallick,Drug_7,29,May
North,Prisha Mallick,Drug_8,34,May
North,Prisha Mallick,Drug_9,7,May
North,Prisha Mallick,Drug_10,24,May
North,Nirvaan Bumb,Drug_1,5,May
North,Nirvaan Bumb,Drug_2,35,May
North,Nirvaan Bumb,Drug_3,18,May
North,Nirvaan Bumb,Drug_4,40,May
North,Nirvaan Bumb,Drug_5,39,May
North,Nirvaan Bumb,Drug_6,23,May
North,Nirvaan Bumb,Drug_7,36,May
North,Nirvaan Bumb,Drug_8,12,May
North,Nirvaan Bumb,Drug_9,45,May
North,Nirvaan Bumb,Drug_10,4,May
North,Dhanush Majumdar,Drug_1,2,May
North,Dhanush Majumdar,Drug_2,42,May
North,Dhanush Majumdar,Drug_3,14,May
North,Dhanush Majumdar,Drug_4,49,May
